title,director,year,runtime,countries,genres,premiere_status,session_date,session_venue,session_time,film_url
Jimmy Barnes: Working Class Man,Andrew Farrell,2025,107 mins,Australia,Documentary,World Premiere,2025-08-23,Hoyts 11Level 3,12:15pm,https://miff.com.au/program/film/jimmy-barnes-working-class-man
"J’ai faim, j’ai froid",Chantal Akerman,1984,12 mins,France,Drama,Australian Premiere,2025-08-23,ACMI,10:30am,https://miff.com.au/program/film/jai-faim-jai-froid
Australian Shorts,,,,,"Drama, Comedy",,2025-08-11,ACMI,10:00am,https://miff.com.au/program/film/australian-shorts
Australian Shorts,,,,,"Drama, Comedy",,2025-08-22,ACMI,10:15am,https://miff.com.au/program/film/australian-shorts
Accelerator Shorts 1,,,,,Drama,,2025-08-13,ACMI,10:30am,https://miff.com.au/program/film/accelerator-shorts-1
Accelerator Shorts 1,,,,,Drama,,2025-08-23,ACMI,10:30am,https://miff.com.au/program/film/accelerator-shorts-1
Sud,Chantal Akerman,1999,70 mins,"France, Belgium",Documentary,,2025-08-19,Unknown,6:15pm,https://miff.com.au/program/film/sud
Reflection in a Dead Diamond,Bruno Forzani,2025,87 mins,"France, Italy, Belgium, Luxembourg","Thriller, Mystery, Sci-Fi",Australian Premiere,2025-08-15,Unknown,6:15pm,https://miff.com.au/program/film/reflection-in-a-dead-diamond
Reflection in a Dead Diamond,Bruno Forzani,2025,87 mins,"France, Italy, Belgium, Luxembourg","Thriller, Mystery, Sci-Fi",Australian Premiere,2025-08-22,ACMI,10:15am,https://miff.com.au/program/film/reflection-in-a-dead-diamond
Reflection in a Dead Diamond,Bruno Forzani,2025,87 mins,"France, Italy, Belgium, Luxembourg","Thriller, Mystery, Sci-Fi",Australian Premiere,2025-08-24,Hoyts 11Level 3,1:30pm,https://miff.com.au/program/film/reflection-in-a-dead-diamond
Revolving Rounds,Johann Lurf,2024,11 mins,Austria,Experimental,Australian Premiere,2025-08-10,ACMI,11:15am,https://miff.com.au/program/film/revolving-rounds
Revolving Rounds,Johann Lurf,2024,11 mins,Austria,Experimental,Australian Premiere,2025-08-19,ACMI,11:15am,https://miff.com.au/program/film/revolving-rounds
Theory to Practice: Forging Paths to Audience,,,,,,,,,,https://miff.com.au/program/film/theory-to-practice-forging-paths-to-audience
The Baltimorons,Jay Duplass,2025,100 mins,USA,"Drama, Comedy, Romance",Australian Premiere,2025-08-14,Capitol113 Swanston StSurviving Malka Leifer6:15pmThe Baltimorons9:15pm The Baltimorons9:15pm The Baltimorons9:15pm The Baltimorons,6:15pm,https://miff.com.au/program/film/the-baltimorons
The Baltimorons,Jay Duplass,2025,100 mins,USA,"Drama, Comedy, Romance",Australian Premiere,2025-08-17,Forum154 Flinders StreetThe Ballad of Wallis Island10:30amFamiliar Touch1:00pmThe Baltimorons3:45pmMarlee Matlin: Not Alone Anymore6:45pm The Baltimorons3:45pm The Baltimorons3:45pm The Baltimorons,10:30am,https://miff.com.au/program/film/the-baltimorons
Special Preview: Eddington,Ari Aster,2025,145 mins,USA,"Comedy, Western",Victorian Premiere,2025-08-09,Unknown,3:30pm,https://miff.com.au/program/film/special-preview-eddington
Special Preview: Eddington,Ari Aster,2025,145 mins,USA,"Comedy, Western",Victorian Premiere,2025-08-10,Unknown,12:45pm,https://miff.com.au/program/film/special-preview-eddington
Eye of the Game: The Deaf Ruckman,Ramas McRae,2025,75 mins,Australia,Documentary,,2025-08-12,ACMI,10:30am,https://miff.com.au/program/film/eye-of-the-game-the-deaf-ruckman
Eye of the Game: The Deaf Ruckman,Ramas McRae,2025,75 mins,Australia,Documentary,,2025-08-19,ACMI,10:30am,https://miff.com.au/program/film/eye-of-the-game-the-deaf-ruckman
Dreams (Sex Love),Dag Johan Haugerud,2025,110 mins,Norway,"Drama, Comedy",Victorian Premiere,2025-08-10,Unknown,1:30pm,https://miff.com.au/program/film/dreams-sex-love
Dreams (Sex Love),Dag Johan Haugerud,2025,110 mins,Norway,"Drama, Comedy",Victorian Premiere,2025-08-16,Capitol113 Swanston StEnzo1:00pmLeft-Handed Girl3:30pmMy Father's Shadow6:15pmDreams (Sex Love)8:45pm Dreams (Sex Love)8:45pm Dreams (Sex Love)8:45pm Dreams (Sex Love),1:00pm,https://miff.com.au/program/film/dreams-sex-love
Dreams (Sex Love),Dag Johan Haugerud,2025,110 mins,Norway,"Drama, Comedy",Victorian Premiere,2025-08-23,Unknown,1:15pm,https://miff.com.au/program/film/dreams-sex-love
Model,Frederick Wiseman,1980,129 mins,USA,Documentary,Australian Premiere,2025-08-10,ACMI,11:15am,https://miff.com.au/program/film/model
Model,Frederick Wiseman,1980,129 mins,USA,Documentary,Australian Premiere,2025-08-22,Unknown,3:45pm,https://miff.com.au/program/film/model
Night Stage,Filipe Matzembacher,2025,119 mins,Brazil,Drama,Australian Premiere,2025-08-16,Unknown,1:30pm,https://miff.com.au/program/film/night-stage
Night Stage,Filipe Matzembacher,2025,119 mins,Brazil,Drama,Australian Premiere,2025-08-23,ACMI,10:45am,https://miff.com.au/program/film/night-stage
Exit 8,Genki Kawamura,2025,95 mins,Japan,"Thriller, Horror",Australian Premiere,2025-08-16,Unknown,86:30pm,https://miff.com.au/program/film/exit-8
Exit 8,Genki Kawamura,2025,95 mins,Japan,"Thriller, Horror",Australian Premiere,2025-08-22,Unknown,6:30pm,https://miff.com.au/program/film/exit-8
Seeds,Brittany Shyne,2024,123 mins,USA,Documentary,Australian Premiere,2025-08-09,Unknown,4:00pm,https://miff.com.au/program/film/seeds
Seeds,Brittany Shyne,2024,123 mins,USA,Documentary,Australian Premiere,2025-08-23,Unknown,11:00am,https://miff.com.au/program/film/seeds
To Kill a Mongolian Horse,Xiaoxuan Jiang,2024,97 mins,"USA, Japan, South Korea, Malaysia, Saudi Arabia, Thailand, Hong Kong",Drama,Victorian Premiere,2025-08-12,Unknown,11:00am,https://miff.com.au/program/film/to-kill-a-mongolian-horse
To Kill a Mongolian Horse,Xiaoxuan Jiang,2024,97 mins,"USA, Japan, South Korea, Malaysia, Saudi Arabia, Thailand, Hong Kong",Drama,Victorian Premiere,2025-08-15,Unknown,4:00pm,https://miff.com.au/program/film/to-kill-a-mongolian-horse
Orwell: 2+2 = 5,Raoul Peck,2025,119 mins,"USA, France",Documentary,Victorian Premiere,2025-08-15,Forum154 Flinders StreetDJ Ahmet10:30amOrwell: 2+2 = 51:00pmThe Blue Trail3:45pmBut Also John Clarke6:15pmLesbian Space Princess9:15pm Orwell: 2+2 = 51:00pm Orwell: 2+2 = 51:00pm Orwell: 2+2 = 5,10:30am,https://miff.com.au/program/film/orwell-22-5
Orwell: 2+2 = 5,Raoul Peck,2025,119 mins,"USA, France",Documentary,Victorian Premiere,2025-08-20,Unknown,11:00am,https://miff.com.au/program/film/orwell-22-5
Orwell: 2+2 = 5,Raoul Peck,2025,119 mins,"USA, France",Documentary,Victorian Premiere,2025-08-23,ACMI,10:30am,https://miff.com.au/program/film/orwell-22-5
Sweetie,Jane Campion,1989,97 mins,Australia,Drama,World Premiere,2025-08-23,Capitol113 Swanston StJourney Home,10:15am,https://miff.com.au/program/film/sweetie
Westgate,Adrian Ortega,2025,94 mins,Australia,Drama,World Premiere,2025-08-17,ACMI,11:00am,https://miff.com.au/program/film/westgate
Westgate,Adrian Ortega,2025,94 mins,Australia,Drama,World Premiere,2025-08-23,Unknown,4:00pm,https://miff.com.au/program/film/westgate
Howl,Domini Marshall,2024,16 mins,,Drama,Australian Premiere,2025-08-11,ACMI,10:00am,https://miff.com.au/program/film/howl
Howl,Domini Marshall,2024,16 mins,,Drama,Australian Premiere,2025-08-22,ACMI,10:15am,https://miff.com.au/program/film/howl
One More Shot,Nick Clifford,2025,92 mins,Australia,"Drama, Comedy",International Premiere,2025-08-09,Capitol113 Swanston StJeanne Dielman,2:00pm,https://miff.com.au/program/film/one-more-shot
One More Shot,Nick Clifford,2025,92 mins,Australia,"Drama, Comedy",International Premiere,2025-08-10,Hoyts 11Level 3,3:45pm,https://miff.com.au/program/film/one-more-shot
One More Shot,Nick Clifford,2025,92 mins,Australia,"Drama, Comedy",International Premiere,2025-08-16,ACMI,10:00am,https://miff.com.au/program/film/one-more-shot
International Shorts 1,,,,,"Drama, Comedy, Fantasy, Sci-Fi, Music",,2025-08-08,ACMI,1:45pm,https://miff.com.au/program/film/international-shorts-1
International Shorts 1,,,,,"Drama, Comedy, Fantasy, Sci-Fi, Music",,2025-08-18,Unknown,6:00pm,https://miff.com.au/program/film/international-shorts-1
In Conversation: Alex Ross Perry,,,,,,,2025-08-22,Unknown,6:00pm,https://miff.com.au/program/film/in-conversation-alex-ross-perry
As If the Earth Had Swallowed Them Up,Natalia León,2024,14 mins,France,Animation,Australian Premiere,2025-08-09,ACMI,10:45am,https://miff.com.au/program/film/as-if-the-earth-had-swallowed-them-up
As If the Earth Had Swallowed Them Up,Natalia León,2024,14 mins,France,Animation,Australian Premiere,2025-08-17,Unknown,11:00am,https://miff.com.au/program/film/as-if-the-earth-had-swallowed-them-up
"Little, Big, and Far",Jem Cohen,2024,122 mins,"USA, Austria","Documentary, Experimental",Australian Premiere,2025-08-09,ACMI,11:15am,https://miff.com.au/program/film/little-big-and-far
"Little, Big, and Far",Jem Cohen,2024,122 mins,"USA, Austria","Documentary, Experimental",Australian Premiere,2025-08-15,ACMI,10:30am,https://miff.com.au/program/film/little-big-and-far
A Poet,Simón Mesa Soto,2025,120 mins,"Germany, Colombia, Sweden","Drama, Comedy",Australian Premiere,2025-08-20,Hoyts 11Level 3,6:00pm,https://miff.com.au/program/film/a-poet
A Poet,Simón Mesa Soto,2025,120 mins,"Germany, Colombia, Sweden","Drama, Comedy",Australian Premiere,2025-08-21,Unknown,6:15pm,https://miff.com.au/program/film/a-poet
A Poet,Simón Mesa Soto,2025,120 mins,"Germany, Colombia, Sweden","Drama, Comedy",Australian Premiere,2025-08-22,Hoyts 3Level 3,6:00pm,https://miff.com.au/program/film/a-poet
Woman and Child,Saeed Roustaee,2025,131 mins,"France, Iran",Drama,Australian Premiere,2025-08-21,Forum154 Flinders StreetWoman and Child10:15amThe President's Cake1:15pmNineteen3:45pmJourney Home,10:15am,https://miff.com.au/program/film/woman-and-child
Woman and Child,Saeed Roustaee,2025,131 mins,"France, Iran",Drama,Australian Premiere,2025-08-23,Hoyts 3Level 3,12:45pm,https://miff.com.au/program/film/woman-and-child
Archipelago of Earthen Bones — To Bunya,Malena Szlam,2024,20 mins,"Australia, Canada, Chile",Experimental,Australian Premiere,2025-08-10,ACMI,11:15am,https://miff.com.au/program/film/archipelago-of-earthen-bones-to-bunya
Archipelago of Earthen Bones — To Bunya,Malena Szlam,2024,20 mins,"Australia, Canada, Chile",Experimental,Australian Premiere,2025-08-19,ACMI,11:15am,https://miff.com.au/program/film/archipelago-of-earthen-bones-to-bunya
The Ice Tower,Lucile Hadžihalilović,2025,117 mins,"Germany, France","Drama, Fantasy",Australian Premiere,2025-08-16,Hoyts 3Level 3,3:45pm,https://miff.com.au/program/film/the-ice-tower
The Ice Tower,Lucile Hadžihalilović,2025,117 mins,"Germany, France","Drama, Fantasy",Australian Premiere,2025-08-23,Unknown,4:00pm,https://miff.com.au/program/film/the-ice-tower
Nineteen,Giovanni Tortorici,2024,109 mins,Italy,Drama,Victorian Premiere,2025-08-15,Hoyts 11Level 3,6:15pm,https://miff.com.au/program/film/nineteen
Nineteen,Giovanni Tortorici,2024,109 mins,Italy,Drama,Victorian Premiere,2025-08-21,Forum154 Flinders StreetWoman and Child10:15amThe President's Cake1:15pmNineteen3:45pmJourney Home,10:15am,https://miff.com.au/program/film/nineteen
Nineteen,Giovanni Tortorici,2024,109 mins,Italy,Drama,Victorian Premiere,2025-08-24,Hoyts 3Level 3,1:30pm,https://miff.com.au/program/film/nineteen
No Home Movie,Chantal Akerman,2015,115 mins,"France, Belgium",Documentary,,2025-08-24,ACMI,10:45am,https://miff.com.au/program/film/no-home-movie
Butthole Surfers: The Hole Truth and Nothing Butt,Tom J. Stern,2025,110 mins,USA,Documentary,Australian Premiere,2025-08-15,ACMI,10:00am,https://miff.com.au/program/film/butthole-surfers-the-hole-truth-and-nothing-butt
Butthole Surfers: The Hole Truth and Nothing Butt,Tom J. Stern,2025,110 mins,USA,Documentary,Australian Premiere,2025-08-17,Unknown,1:00pm,https://miff.com.au/program/film/butthole-surfers-the-hole-truth-and-nothing-butt
From Darkness to Light,Michael Lurie,2024,108 mins,"USA, Germany",Documentary,Australian Premiere,2025-08-10,Unknown,1:15pm,https://miff.com.au/program/film/from-darkness-to-light
From Darkness to Light,Michael Lurie,2024,108 mins,"USA, Germany",Documentary,Australian Premiere,2025-08-13,ACMI,1:30pm,https://miff.com.au/program/film/from-darkness-to-light
Trains,Maciej J. Drygas,2024,81 mins,"Lithuania, Poland",Documentary,Australian Premiere,2025-08-19,ACMI,11:15am,https://miff.com.au/program/film/trains
Trains,Maciej J. Drygas,2024,81 mins,"Lithuania, Poland",Documentary,Australian Premiere,2025-08-23,Hoyts 7Level 3,1:00pm,https://miff.com.au/program/film/trains
Rain Falls Still,Bạch Đăng Tùng,2024,12 mins,"Australia, Vietnam",Drama,Victorian Premiere,2025-08-13,ACMI,10:30am,https://miff.com.au/program/film/rain-falls-still
Rain Falls Still,Bạch Đăng Tùng,2024,12 mins,"Australia, Vietnam",Drama,Victorian Premiere,2025-08-23,Unknown,10:30am,https://miff.com.au/program/film/rain-falls-still
Retirement Plan,John Kelly,2024,7 mins,Ireland,Animation,Australian Premiere,2025-08-09,ACMI,10:45am,https://miff.com.au/program/film/retirement-plan
Retirement Plan,John Kelly,2024,7 mins,Ireland,Animation,Australian Premiere,2025-08-17,Unknown,11:00am,https://miff.com.au/program/film/retirement-plan
BMX Bandits,Brian Trenchard-Smith,1983,92 mins,Australia,"Drama, Action",World Premiere,2025-08-10,Hoyts 8/10Level 3,4:00pm,https://miff.com.au/program/film/bmx-bandits
Two Prosecutors,Sergei Loznitsa,2025,118 mins,"Germany, France, Romania, Latvia, Lithuania, Netherlands",Drama,Australian Premiere,2025-08-13,Forum154 Flinders StreetHappy Holidays10:30amLittle Trouble Girls1:30pmTwo Prosecutors3:45pmThe Love That Remains6:30pmHomebound9:15pm Two Prosecutors3:45pm Two Prosecutors3:45pm Two Prosecutors,10:30am,https://miff.com.au/program/film/two-prosecutors
Two Prosecutors,Sergei Loznitsa,2025,118 mins,"Germany, France, Romania, Latvia, Lithuania, Netherlands",Drama,Australian Premiere,2025-08-15,Unknown,6:15pm,https://miff.com.au/program/film/two-prosecutors
Two Prosecutors,Sergei Loznitsa,2025,118 mins,"Germany, France, Romania, Latvia, Lithuania, Netherlands",Drama,Australian Premiere,2025-08-24,Capitol113 Swanston StThe Golden Spurtle10:00amTwo Prosecutors12:30pmSound of Falling3:15pmThe Blue Trail7:00pmWhat Does That Nature Say To You9:15pm Two Prosecutors12:30pm Two Prosecutors12:30pm Two Prosecutors,10:00am,https://miff.com.au/program/film/two-prosecutors
Opening Night Gala: If I Had Legs I’d Kick You,Mary Bronstein,2025,113 mins,USA,Drama,Australian Premiere,2025-08-07,Hoyts 5Level 3,6:15pm,https://miff.com.au/program/film/opening-night-gala-if-i-had-legs-id-kick-you
Opening Night Gala: If I Had Legs I’d Kick You,Mary Bronstein,2025,113 mins,USA,Drama,Australian Premiere,2025-08-07,Hoyts Melbourne Central Cinema 3Level 3,6:45pm,https://miff.com.au/program/film/opening-night-gala-if-i-had-legs-id-kick-you
Opening Night Gala: If I Had Legs I’d Kick You,Mary Bronstein,2025,113 mins,USA,Drama,Australian Premiere,2025-08-07,Hoyts Melbourne Central Cinema 6Level 3,6:15pm,https://miff.com.au/program/film/opening-night-gala-if-i-had-legs-id-kick-you
Opening Night Gala: If I Had Legs I’d Kick You,Mary Bronstein,2025,113 mins,USA,Drama,Australian Premiere,2025-08-07,Hoyts Melbourne Central Cinema 8Level 3,6:45pm,https://miff.com.au/program/film/opening-night-gala-if-i-had-legs-id-kick-you
Sound of Falling,Mascha Schilinski,2025,149 mins,Germany,"Drama, Historical",Australian Premiere,2025-08-20,Capitol113 Swanston StSound of Falling6:00pmMagic Farm9:30pm Sound of Falling6:00pm Sound of Falling6:00pm Sound of Falling,6:00pm,https://miff.com.au/program/film/sound-of-falling
Sound of Falling,Mascha Schilinski,2025,149 mins,Germany,"Drama, Historical",Australian Premiere,2025-08-22,Unknown,6:00pm,https://miff.com.au/program/film/sound-of-falling
Sound of Falling,Mascha Schilinski,2025,149 mins,Germany,"Drama, Historical",Australian Premiere,2025-08-24,Capitol113 Swanston StThe Golden Spurtle10:00amTwo Prosecutors12:30pmSound of Falling3:15pmThe Blue Trail7:00pmWhat Does That Nature Say To You9:15pm Sound of Falling3:15pm Sound of Falling3:15pm Sound of Falling,10:00am,https://miff.com.au/program/film/sound-of-falling
Familiar Touch,Sarah Friedland,2025,91 mins,USA,Drama,Australian Premiere,2025-08-10,ACMI,11:30am,https://miff.com.au/program/film/familiar-touch
Familiar Touch,Sarah Friedland,2025,91 mins,USA,Drama,Australian Premiere,2025-08-17,Forum154 Flinders StreetThe Ballad of Wallis Island10:30amFamiliar Touch1:00pmThe Baltimorons3:45pmMarlee Matlin: Not Alone Anymore6:45pm Familiar Touch1:00pm Familiar Touch1:00pm Familiar Touch,10:30am,https://miff.com.au/program/film/familiar-touch
The Legend of Ochi,Isaiah Saxon,2025,96 mins,"USA, UK, Finland",Fantasy,Australian Premiere,2025-08-09,ACMI,10:45am,https://miff.com.au/program/film/the-legend-of-ochi
The Legend of Ochi,Isaiah Saxon,2025,96 mins,"USA, UK, Finland",Fantasy,Australian Premiere,2025-08-24,Hoyts 3Level 3,1:30pm,https://miff.com.au/program/film/the-legend-of-ochi
But Also John Clarke,Lorin Clarke,2025,103 mins,Australia,Documentary,World Premiere,2025-08-15,Forum154 Flinders StreetDJ Ahmet10:30amOrwell: 2+2 = 51:00pmThe Blue Trail3:45pmBut Also John Clarke6:15pmLesbian Space Princess9:15pm But Also John Clarke6:15pm But Also John Clarke6:15pm But Also John Clarke,10:30am,https://miff.com.au/program/film/but-also-john-clarke
But Also John Clarke,Lorin Clarke,2025,103 mins,Australia,Documentary,World Premiere,2025-08-17,Unknown,1:00pm,https://miff.com.au/program/film/but-also-john-clarke
But Also John Clarke,Lorin Clarke,2025,103 mins,Australia,Documentary,World Premiere,2025-08-24,Forum154 Flinders StreetBut Also John Clarke10:15amCome See Me in the Good Light1:00pmThe Chronology of Water4:00pmBest MIFF Shorts6:45pmDJ Ahmet9:30pm But Also John Clarke10:15am But Also John Clarke10:15am But Also John Clarke,10:15am,https://miff.com.au/program/film/but-also-john-clarke
INFINIT3,Riley Blakeway,2025,11 mins,Australia,Drama,World Premiere,2025-08-13,ACMI,10:30am,https://miff.com.au/program/film/infinit3
INFINIT3,Riley Blakeway,2025,11 mins,Australia,Drama,World Premiere,2025-08-23,Unknown,10:30am,https://miff.com.au/program/film/infinit3
The Love That Remains,Hlynur Pálmason,2025,109 mins,"France, Denmark, Iceland, Sweden",Drama,Victorian Premiere,2025-08-08,ACMI,1:30pm,https://miff.com.au/program/film/the-love-that-remains
The Love That Remains,Hlynur Pálmason,2025,109 mins,"France, Denmark, Iceland, Sweden",Drama,Victorian Premiere,2025-08-13,Forum154 Flinders StreetHappy Holidays10:30amLittle Trouble Girls1:30pmTwo Prosecutors3:45pmThe Love That Remains6:30pmHomebound9:15pm The Love That Remains6:30pm The Love That Remains6:30pm The Love That Remains,10:30am,https://miff.com.au/program/film/the-love-that-remains
The Love That Remains,Hlynur Pálmason,2025,109 mins,"France, Denmark, Iceland, Sweden",Drama,Victorian Premiere,2025-08-23,Capitol113 Swanston StJourney Home,10:15am,https://miff.com.au/program/film/the-love-that-remains
Youth (Hard Times),Wang Bing,2025,223 mins,China,Documentary,Victorian Premiere,2025-08-17,ACMI,10:30am,https://miff.com.au/program/film/youth-hard-times
Interview With A Hero,Andy ‘Celeste’ Diep,2025,15 mins,Australia,Drama,Victorian Premiere,2025-08-13,ACMI,10:30am,https://miff.com.au/program/film/interview-with-a-hero
Interview With A Hero,Andy ‘Celeste’ Diep,2025,15 mins,Australia,Drama,Victorian Premiere,2025-08-23,Unknown,10:30am,https://miff.com.au/program/film/interview-with-a-hero
Two Times João Liberada,Paula Tomás Marques,2025,70 mins,Portugal,Experimental,Australian Premiere,2025-08-11,ACMI,10:45am,https://miff.com.au/program/film/two-times-joao-liberada
Two Times João Liberada,Paula Tomás Marques,2025,70 mins,Portugal,Experimental,Australian Premiere,2025-08-20,ACMI,1:45pm,https://miff.com.au/program/film/two-times-joao-liberada
1000 Women in Horror,Donna Davies,2025,96 mins,USA,"Documentary, Horror",World Premiere,2025-08-21,Capitol113 Swanston St1000 Women in Horror6:15pmStranger Eyes9:00pm 1000 Women in Horror6:15pm 1000 Women in Horror6:15pm 1000 Women in Horror,6:15pm,https://miff.com.au/program/film/1000-women-in-horror
1000 Women in Horror,Donna Davies,2025,96 mins,USA,"Documentary, Horror",World Premiere,2025-08-23,Unknown,11:00am,https://miff.com.au/program/film/1000-women-in-horror
The Rivals of Amziah King,Andrew Patterson,2025,130 mins,"USA, UK",Drama,Australian Premiere,2025-08-20,Unknown,6:30pm,https://miff.com.au/program/film/the-rivals-of-amziah-king
The Rivals of Amziah King,Andrew Patterson,2025,130 mins,"USA, UK",Drama,Australian Premiere,2025-08-22,Forum154 Flinders StreetPrime Minister10:00amThe End12:30pmMy Father's Shadow3:45pmThe Rivals of Amziah King6:00pmTwinless9:30pm The Rivals of Amziah King6:00pm The Rivals of Amziah King6:00pm The Rivals of Amziah King,10:00am,https://miff.com.au/program/film/the-rivals-of-amziah-king
The Rivals of Amziah King,Andrew Patterson,2025,130 mins,"USA, UK",Drama,Australian Premiere,2025-08-24,Unknown,3:30pm,https://miff.com.au/program/film/the-rivals-of-amziah-king
Beauty and the Beast,Juraj Herz,1978,88 mins,Czechoslovakia,"Fantasy, Horror, Romance",,2025-08-08,Unknown,6:15pm,https://miff.com.au/program/film/beauty-and-the-beast
Homebound,Neeraj Ghaywan,2025,119 mins,India,Drama,Australian Premiere,2025-08-13,Forum154 Flinders StreetHappy Holidays10:30amLittle Trouble Girls1:30pmTwo Prosecutors3:45pmThe Love That Remains6:30pmHomebound9:15pm Homebound9:15pm Homebound9:15pm Homebound,10:30am,https://miff.com.au/program/film/homebound
Homebound,Neeraj Ghaywan,2025,119 mins,India,Drama,Australian Premiere,2025-08-16,Forum154 Flinders StreetHomebound10:00amSignorinella: Little Miss1:00pmBlue Moon3:45pmPasa Faho6:30pmPeter Hujar's Day9:15pm Homebound10:00am Homebound10:00am Homebound,10:00am,https://miff.com.au/program/film/homebound
The End,Joshua Oppenheimer,2024,148 mins,"USA, UK, Germany, Italy, Denmark, Ireland, Sweden","Drama, Fantasy, Musical, Sci-Fi",Victorian Premiere,2025-08-10,Unknown,12:45pm,https://miff.com.au/program/film/the-end
The End,Joshua Oppenheimer,2024,148 mins,"USA, UK, Germany, Italy, Denmark, Ireland, Sweden","Drama, Fantasy, Musical, Sci-Fi",Victorian Premiere,2025-08-15,Unknown,6:15pm,https://miff.com.au/program/film/the-end
The End,Joshua Oppenheimer,2024,148 mins,"USA, UK, Germany, Italy, Denmark, Ireland, Sweden","Drama, Fantasy, Musical, Sci-Fi",Victorian Premiere,2025-08-22,Forum154 Flinders StreetPrime Minister10:00amThe End12:30pmMy Father's Shadow3:45pmThe Rivals of Amziah King6:00pmTwinless9:30pm The End12:30pm The End12:30pm The End,10:00am,https://miff.com.au/program/film/the-end
Workmates,Curtis Vowell,2025,102 mins,New Zealand,"Drama, Comedy",Australian Premiere,2025-08-22,Unknown,3:30pm,https://miff.com.au/program/film/workmates
Workmates,Curtis Vowell,2025,102 mins,New Zealand,"Drama, Comedy",Australian Premiere,2025-08-24,Unknown,1:30pm,https://miff.com.au/program/film/workmates
The Eating of an Orange,May Kindred-Boothby,2024,7 mins,UK,Animation,Australian Premiere,2025-08-08,Unknown,6:30pm,https://miff.com.au/program/film/the-eating-of-an-orange
The Eating of an Orange,May Kindred-Boothby,2024,7 mins,UK,Animation,Australian Premiere,2025-08-20,ACMI,10:00am,https://miff.com.au/program/film/the-eating-of-an-orange
L'Homme à la valise,Chantal Akerman,1983,61 mins,France,"Drama, Comedy, Experimental",Australian Premiere,2025-08-20,Unknown,6:30pm,https://miff.com.au/program/film/lhomme-a-la-valise
The Great History of Western Philosophy,Aria Covamonas,2025,73 mins,Mexico,"Comedy, Animation, Experimental",Australian Premiere,2025-08-11,ACMI,10:45am,https://miff.com.au/program/film/the-great-history-of-western-philosophy
The Great History of Western Philosophy,Aria Covamonas,2025,73 mins,Mexico,"Comedy, Animation, Experimental",Australian Premiere,2025-08-18,ACMI,11:00am,https://miff.com.au/program/film/the-great-history-of-western-philosophy
Omaha,Cole Webley,2025,83 mins,USA,Drama,Australian Premiere,2025-08-18,ACMI,11:15am,https://miff.com.au/program/film/omaha
Omaha,Cole Webley,2025,83 mins,USA,Drama,Australian Premiere,2025-08-20,Hoyts 8/10Level 3,6:15pm,https://miff.com.au/program/film/omaha
News From Home,Chantal Akerman,1976,90 mins,"France, Belgium","Documentary, Experimental",,2025-08-17,Unknown,1:15pm,https://miff.com.au/program/film/news-from-home
Sanatorium,Gar O’Rourke,2025,90 mins,"France, Ukraine, Ireland",Documentary,Australian Premiere,2025-08-12,Unknown,11:00am,https://miff.com.au/program/film/sanatorium
Sanatorium,Gar O’Rourke,2025,90 mins,"France, Ukraine, Ireland",Documentary,Australian Premiere,2025-08-15,Unknown,6:00pm,https://miff.com.au/program/film/sanatorium
MIFF x Birrarangga FF: Free Leonard Peltier Special Screening,David France,2025,110 mins,USA,Documentary,Australian Premiere,2025-08-16,ACMI,10:00am,https://miff.com.au/program/film/miff-x-birrarangga-ff-free-leonard-peltier-special-screening
MIFF x Birrarangga FF: Free Leonard Peltier Special Screening,David France,2025,110 mins,USA,Documentary,Australian Premiere,2025-08-18,Unknown,6:00pm,https://miff.com.au/program/film/miff-x-birrarangga-ff-free-leonard-peltier-special-screening
Je tu il elle,Chantal Akerman,1974,86 mins,"France, Belgium",Drama,Australian Premiere,2025-08-10,Unknown,1:15pm,https://miff.com.au/program/film/je-tu-il-elle
Pulp,Sarah Hegge-Taylor,2025,13 mins,Australia,"Drama, Sci-Fi",World Premiere,2025-08-14,ACMI,10:30am,https://miff.com.au/program/film/pulp
Pulp,Sarah Hegge-Taylor,2025,13 mins,Australia,"Drama, Sci-Fi",World Premiere,2025-08-24,Unknown,10:45am,https://miff.com.au/program/film/pulp
Toute une nuit,Chantal Akerman,1982,91 mins,"France, Belgium",Experimental,Australian Premiere,2025-08-11,Unknown,6:00pm,https://miff.com.au/program/film/toute-une-nuit
Our Lady Who Burns,Alice dos Reis,2024,8 mins,Portugal,"Experimental, Sci-Fi",Australian Premiere,2025-08-10,ACMI,11:15am,https://miff.com.au/program/film/our-lady-who-burns
Our Lady Who Burns,Alice dos Reis,2024,8 mins,Portugal,"Experimental, Sci-Fi",Australian Premiere,2025-08-19,ACMI,11:15am,https://miff.com.au/program/film/our-lady-who-burns
Peter Hujar's Day,Ira Sachs,2025,76 mins,"USA, Germany",Drama,Australian Premiere,2025-08-16,Forum154 Flinders StreetHomebound10:00amSignorinella: Little Miss1:00pmBlue Moon3:45pmPasa Faho6:30pmPeter Hujar's Day9:15pm Peter Hujar's Day9:15pm Peter Hujar's Day9:15pm Peter Hujar's Day,10:00am,https://miff.com.au/program/film/peter-hujars-day
