title,director,year,runtime,countries,genres,premiere_status,session_date,session_venue,session_time,film_url
Remote Views,Alexis McCrimmon,2025,15 mins,USA,"Documentary, Experimental",International Premiere,2025-08-10,ACMI,11:15am,https://miff.com.au/program/film/remote-views
Remote Views,Alexis McCrimmon,2025,15 mins,USA,"Documentary, Experimental",International Premiere,2025-08-19,ACMI,11:15am,https://miff.com.au/program/film/remote-views
Sanatorium Under the Sign of the Hourglass,Quay Brothers,2024,76 mins,"UK, Germany, Poland",Animation,Australian Premiere,2025-08-13,ACMI,1:30pm,https://miff.com.au/program/film/sanatorium-under-the-sign-of-the-hourglass
Sanatorium Under the Sign of the Hourglass,Quay Brothers,2024,76 mins,"UK, Germany, Poland",Animation,Australian Premiere,2025-08-24,Hoyts 7Level 3,11:00am,https://miff.com.au/program/film/sanatorium-under-the-sign-of-the-hourglass
The Texas Chainsaw Massacre – Retro Screening Experience,Tobe Hooper,1974,83 mins,USA,Horror,,2025-08-09,ACMI,10:45am,https://miff.com.au/program/film/the-texas-chainsaw-massacre-retro-screening-experience
Contact Lens,Ruiqi Lu,2025,78 mins,China,Experimental,Australian Premiere,2025-08-15,ACMI,10:30am,https://miff.com.au/program/film/contact-lens
Contact Lens,Ruiqi Lu,2025,78 mins,China,Experimental,Australian Premiere,2025-08-20,Unknown,6:30pm,https://miff.com.au/program/film/contact-lens
"It's Never Over, Jeff Buckley",Amy Berg,2025,108 mins,USA,Documentary,Victorian Premiere,2025-08-21,Hoyts 11Level 3,6:15pm,https://miff.com.au/program/film/its-never-over-jeff-buckley
"It's Never Over, Jeff Buckley",Amy Berg,2025,108 mins,USA,Documentary,Victorian Premiere,2025-08-23,Unknown,1:00pm,https://miff.com.au/program/film/its-never-over-jeff-buckley
Surviving Malka Leifer,Adam Kamien,2025,95 mins,Australia,Documentary,World Premiere,2025-08-14,Capitol113 Swanston StSurviving Malka Leifer6:15pmThe Baltimorons9:15pm Surviving Malka Leifer6:15pm Surviving Malka Leifer6:15pm Surviving Malka Leifer,6:15pm,https://miff.com.au/program/film/surviving-malka-leifer
Surviving Malka Leifer,Adam Kamien,2025,95 mins,Australia,Documentary,World Premiere,2025-08-17,ACMI,11:00am,https://miff.com.au/program/film/surviving-malka-leifer
Prime Minister,Lindsay Utz,2025,103 mins,"USA, New Zealand",Documentary,Victorian Premiere,2025-08-17,Capitol113 Swanston StPrime Minister1:00pmImagine4:00pmPavements6:30pm Prime Minister1:00pm Prime Minister1:00pm Prime Minister,1:00pm,https://miff.com.au/program/film/prime-minister
Prime Minister,Lindsay Utz,2025,103 mins,"USA, New Zealand",Documentary,Victorian Premiere,2025-08-22,Forum154 Flinders StreetPrime Minister10:00amThe End12:30pmMy Father's Shadow3:45pmThe Rivals of Amziah King6:00pmTwinless9:30pm Prime Minister10:00am Prime Minister10:00am Prime Minister,10:00am,https://miff.com.au/program/film/prime-minister
La Chambre,Chantal Akerman,1972,11 mins,Belgium,"Documentary, Experimental",Australian Premiere,2025-08-17,Unknown,1:15pm,https://miff.com.au/program/film/la-chambre
The Ballad of Wallis Island,James Griffiths,2025,99 mins,UK,"Drama, Comedy",Victorian Premiere,2025-08-14,Hoyts 11Level 3,6:30pm,https://miff.com.au/program/film/the-ballad-of-wallis-island
The Ballad of Wallis Island,James Griffiths,2025,99 mins,UK,"Drama, Comedy",Victorian Premiere,2025-08-17,Forum154 Flinders StreetThe Ballad of Wallis Island10:30amFamiliar Touch1:00pmThe Baltimorons3:45pmMarlee Matlin: Not Alone Anymore6:45pm The Ballad of Wallis Island10:30am The Ballad of Wallis Island10:30am The Ballad of Wallis Island,10:30am,https://miff.com.au/program/film/the-ballad-of-wallis-island
The Ballad of Wallis Island,James Griffiths,2025,99 mins,UK,"Drama, Comedy",Victorian Premiere,2025-08-24,Unknown,1:00pm,https://miff.com.au/program/film/the-ballad-of-wallis-island
Kontinental '25,Radu Jude,2025,109 mins,Romania,Drama,Victorian Premiere,2025-08-09,Capitol113 Swanston StJeanne Dielman,2:00pm,https://miff.com.au/program/film/kontinental-25
Kontinental '25,Radu Jude,2025,109 mins,Romania,Drama,Victorian Premiere,2025-08-13,Unknown,6:30pm,https://miff.com.au/program/film/kontinental-25
Another Other,Bex Oluwatoyin Thompson,2025,9 mins,USA,Experimental,Australian Premiere,2025-08-10,ACMI,11:15am,https://miff.com.au/program/film/another-other
Another Other,Bex Oluwatoyin Thompson,2025,9 mins,USA,Experimental,Australian Premiere,2025-08-19,ACMI,11:15am,https://miff.com.au/program/film/another-other
My Undesirable Friends: Part I — Last Air in Moscow,Julia Loktev,2024,324 mins,USA,Documentary,Australian Premiere,2025-08-16,ACMI,10:15am,https://miff.com.au/program/film/my-undesirable-friends-part-i-last-air-in-moscow
My Undesirable Friends: Part I — Last Air in Moscow,Julia Loktev,2024,324 mins,USA,Documentary,Australian Premiere,2025-08-19,Unknown,11:00am,https://miff.com.au/program/film/my-undesirable-friends-part-i-last-air-in-moscow
Bush Boots,Isabel Dilena,2025,15 mins,Australia,Documentary,,2025-08-12,ACMI,10:30am,https://miff.com.au/program/film/bush-boots
