date,film_title,film_id,film_url,venue,time,context
2025-08-08,DJ Ahmet,dj-ahmet,https://miff.com.au/program/film/dj-ahmet,Unknown,6:30pm,"Kino 1Lower Ground Level, 45 Collins StreetDJ Ahmet6:30pmWTF ShortsThe Eating of an OrangeGod is shyLast CallLoynesThe Shirt off Your BackWorld at Stake9:15pm DJ Ahmet6:30pm DJ Ahmet6:30pm DJ Ahmet "
2025-08-08,WTF Shorts,wtf-shorts,https://miff.com.au/program/film/wtf-shorts,Unknown,6:30pm,"Kino 1Lower Ground Level, 45 Collins StreetDJ Ahmet6:30pmWTF ShortsThe Eating of an OrangeGod is shyLast CallLoynesThe Shirt off Your BackWorld at Stake9:15pm WTF ShortsThe Eating of an OrangeGod is s"
2025-08-08,The Eating of an Orange,the-eating-of-an-orange,https://miff.com.au/program/film/the-eating-of-an-orange,Unknown,6:30pm,"Kino 1Lower Ground Level, 45 Collins StreetDJ Ahmet6:30pmWTF ShortsThe Eating of an OrangeGod is shyLast CallLoynesThe Shirt off Your BackWorld at Stake9:15pm WTF ShortsThe Eating of an OrangeGod is s"
2025-08-08,God is shy,god-is-shy,https://miff.com.au/program/film/god-is-shy,Unknown,6:30pm,"Kino 1Lower Ground Level, 45 Collins StreetDJ Ahmet6:30pmWTF ShortsThe Eating of an OrangeGod is shyLast CallLoynesThe Shirt off Your BackWorld at Stake9:15pm WTF ShortsThe Eating of an OrangeGod is s"
2025-08-08,Last Call,last-call,https://miff.com.au/program/film/last-call,Unknown,6:30pm,"Kino 1Lower Ground Level, 45 Collins StreetDJ Ahmet6:30pmWTF ShortsThe Eating of an OrangeGod is shyLast CallLoynesThe Shirt off Your BackWorld at Stake9:15pm WTF ShortsThe Eating of an OrangeGod is s"
2025-08-08,Loynes,loynes,https://miff.com.au/program/film/loynes,Unknown,6:30pm,"Kino 1Lower Ground Level, 45 Collins StreetDJ Ahmet6:30pmWTF ShortsThe Eating of an OrangeGod is shyLast CallLoynesThe Shirt off Your BackWorld at Stake9:15pm WTF ShortsThe Eating of an OrangeGod is s"
2025-08-08,The Shirt off Your Back,the-shirt-off-your-back,https://miff.com.au/program/film/the-shirt-off-your-back,Unknown,6:30pm,"Kino 1Lower Ground Level, 45 Collins StreetDJ Ahmet6:30pmWTF ShortsThe Eating of an OrangeGod is shyLast CallLoynesThe Shirt off Your BackWorld at Stake9:15pm WTF ShortsThe Eating of an OrangeGod is s"
2025-08-08,World at Stake,world-at-stake,https://miff.com.au/program/film/world-at-stake,Unknown,6:30pm,"Kino 1Lower Ground Level, 45 Collins StreetDJ Ahmet6:30pmWTF ShortsThe Eating of an OrangeGod is shyLast CallLoynesThe Shirt off Your BackWorld at Stake9:15pm WTF ShortsThe Eating of an OrangeGod is s"
2025-08-08,Sex,sex,https://miff.com.au/program/film/sex,Unknown,6:15pm,"Kino 2Lower Ground Level, 45 Collins StreetSex6:15pmBeauty and the Beast9:00pm Sex6:15pm Sex6:15pm Sex "
2025-08-08,Beauty and the Beast,beauty-and-the-beast,https://miff.com.au/program/film/beauty-and-the-beast,Unknown,6:15pm,"Kino 2Lower Ground Level, 45 Collins StreetSex6:15pmBeauty and the Beast9:00pm Beauty and the Beast9:00pm Beauty and the Beast9:00pm Beauty and the Beast "
2025-08-08,Twinless,twinless,https://miff.com.au/program/film/twinless,Capitol113 Swanston StTwinless6:30pmThe Mastermind9:00pm Twinless6:30pm Twinless6:30pm Twinless,6:30pm,The Capitol113 Swanston StTwinless6:30pmThe Mastermind9:00pm Twinless6:30pm Twinless6:30pm Twinless 
